Text,Target
one of the other reviewer have mention that after watch just oz episode youll be hook they be right a this be exactly what happen with me.the first thing that strike me about oz be it utality and unflinching scene of violence which set in right from the word go trust me this be not a show for the faint hearted or timid this show pull no punch with regard to drug sex or violence it be hardcore in the classic use of the word.it be call oz a that be the nickname give to the oswald maximum security state penitentary it focus mainly on emerald city an experimental section of the prison where all the cell have glass front and face inwards so privacy be not high on the agenda em city be home to many .. aryan muslim gangstas latinos christian italian irish and more .... so scuffles death stare dodgy dealing and shady agreement be never far away.i would say the main appeal of the show be due to the fact that it go where other show wouldnt dare forget pretty picture paint for mainstream audience forget charm forget romance ... oz doesnt mess around the first episode i ever saw strike me a so nasty it be surreal i couldnt say i be ready for it but a i watch more i develop a taste for oz and get accustom to the high level of graphic violence not just violence but injustice crook guard wholl be sell out for a nickel inmates wholl kill on order and get away with it well mannered middle class inmate be turn into prison bitch due to their lack of street skill or prison experience watch oz you may become comfortable with what be uncomfortable view .... thats if you can get in touch with your darker side,negative
a wonderful little production the filming technique be very unassuming very oldtimebbc fashion and give a comforting and sometimes discomforting sense of realism to the entire piece the actor be extremely well choose michael sheen not only have get all the polari but he have all the voice down pat too you can truly see the seamless edit guide by the reference to williams diary entry not only be it well worth the watching but it be a terrificly write and perform piece a masterful production about one of the great master of comedy and his life the realism really come home with the little thing the fantasy of the guard which rather than use the traditional dream technique remain solid then disappear it play on our knowledge and our sens particularly with the scene concern orton and halliwell and the set particularly of their flat with halliwells mural decorate every surface be terribly well do,positive
i think this be a wonderful way to spend time on a too hot summer weekend sit in the air condition theater and watch a lighthearted comedy the plot be simplistic but the dialogue be witty and the character be likable even the well ead suspect serial killer while some may be disappoint when they realize this be not match point risk addiction i think it be proof that woody allen be still fully in control of the style many of u have grow to love.this be the most id laugh at one of woodys comedy in year dare i say a decade while ive never be impress with scarlet johanson in this she manage to tone down her sexy image and jump right into a average but spirited young woman.this may not be the crown jewel of his career but it be witty than devil wear prada and more interesting than superman a great comedy to go see with friend,positive
basically theres a family where a little boy jake think theres a zombie in his closet his parent be fight all the time.this movie be slow than a soap opera ... and suddenly jake decides to become rambo and kill the zombie.ok first of all when youre go to make a film you must decide if it a thriller or a drama a a drama the movie be watchable parent be divorce argue like in real life and then we have jake with his closet which totally ruin all the film i expect to see a boogeyman similar movie and instead i watch a drama with some meaningless thriller spot out of just for the well play parent descent dialog a for the shot with jake just ignore them,negative
petter matteis love in the time of money be a visually stunning film to watch mr. mattei offer u a vivid portrait about human relation this be a movie that seem to be tell u what money power and success do to people in the different situation we encounter this be a variation on the arthur schnitzlers play about the same theme the director transfer the action to the present time new york where all these different character meet and connect each one be connect in one way or another to the next person but no one seem to know the previous point of contact stylishly the film have a sophisticated luxurious look we be take to see how these people live and the world they live in their own habitat.the only thing one get out of all these soul in the picture be the different stage of loneliness each one inhabit a big city be not exactly the best place in which human relation find sincere fulfillment a one discerns be the case with most of the people we encounter.the act be good under mr. matteis direction steve buscemi rosario dawson carol kane michael imperioli adrian grenier and the rest of the talented cast make these character come alive.we wish mr. mattei good luck and await anxiously for his next work,positive
probably my alltime favorite movie a story of selflessness sacrifice and dedication to a noble cause but it not preachy or bore it just never get old despite my have see it some or more time in the last year paul lukas performance ings tear to my eye and bette davis in one of her very few truly sympathetic role be a delight the kid be a grandma say more like dressedup midget than child but that only make them more fun to watch and the mother slow awaken to whats happen in the world and under her own roof be believable and startle if i have a dozen thumb theyd all be up for this movie,positive
i sure would like to see a resurrection of a up dated seahunt series with the tech they have today it would ing back the kid excitement in me.i grow up on black and white tv and seahunt with gunsmoke be my heros every week.you have my vote for a comeback of a new sea hunt.we need a change of pace in tv and this would work for a world of under water adventure.oh by the way thank you for an outlet like this to view many viewpoint about tv and the many movies.so any ole way i believe ive get what i wan na say.would be nice to read some more plus point about sea hunt.if my rhyme would be line would you let me submitor leave me out to be in doubt and have me to quitif this be so then i must go so lets do it,positive
this show be an amazing fresh innovative idea in the s when it first air the first or year be illiant but thing drop off after that by the show be not really funny anymore and it continue it decline far to the complete waste of time it be today.its truly disgraceful how far this show have fall the writing be painfully bad the performance be almost a bad if not for the mildly entertaining respite of the guesthosts this show probably wouldnt still be on the air i find it so hard to believe that the same creator that handselected the original cast also choose the band of hack that follow how can one recognize such illiance and then see fit to replace it with such mediocrity i felt i must give star out of respect for the original cast that make this show such a huge success a it be now the show be just awful i cant believe it still on the air,neutral
encourage by the positive comment about this film on here i be look forward to watch this film bad mistake ive see film and this be truly one of the bad of them it awful in almost every way edit pace storyline act soundtrack the film only song a lame country tune be play no less than four time the film look cheap and nasty and be bore in the extreme rarely have i be so happy to see the end credit of a film the only thing that prevent me give this a score be harvey keitel while this be far from his best performance he at least seem to be make a bit of an effort one for keitel obsessive only,neutral
if you like original gut wrench laughter you will like this movie if you be young or old then you will love this movie hell even my mom like it.great camp,positive
